Family,genome_count,fraction,percentage
Cruliviridae,8,0.00040397919507145384,0.040397919507145386
Picobirnaviridae,7,0.0003534817956875221,0.03534817956875221
Mayoviridae,7,0.0003534817956875221,0.03534817956875221
Ootiviridae,7,0.0003534817956875221,0.03534817956875221
Nenyaviridae,7,0.0003534817956875221,0.03534817956875221
Mycoalphaviridae,7,0.0003534817956875221,0.03534817956875221
Lakviridae,7,0.0003534817956875221,0.03534817956875221
Alphatetraviridae,6,0.0003029843963035904,0.03029843963035904
Ascoviridae,6,0.0003029843963035904,0.03029843963035904
Trautnerviridae,6,0.0003029843963035904,0.03029843963035904
Aspiviridae,6,0.0003029843963035904,0.03029843963035904
Duneviridae,6,0.0003029843963035904,0.03029843963035904
Pithoviridae,6,0.0003029843963035904,0.03029843963035904
Pachyviridae,5,0.00025248699691965865,0.025248699691965866
Alternaviridae,5,0.00025248699691965865,0.025248699691965866
Konkoviridae,5,0.00025248699691965865,0.025248699691965866
Kruegerviridae,5,0.00025248699691965865,0.025248699691965866
Plectroviridae,5,0.00025248699691965865,0.025248699691965866
Pneumoviridae,5,0.00025248699691965865,0.025248699691965866
Autolykiviridae,5,0.00025248699691965865,0.025248699691965866
Quadriviridae,5,0.00025248699691965865,0.025248699691965866
Thalassapleoviridae,5,0.00025248699691965865,0.025248699691965866
Crevaviridae,4,0.00020198959753572692,0.020198959753572693
Matonaviridae,4,0.00020198959753572692,0.020198959753572693
Pseudoviridae,4,0.00020198959753572692,0.020198959753572693
Sphaerolipoviridae,4,0.00020198959753572692,0.020198959753572693
Roniviridae,4,0.00020198959753572692,0.020198959753572693
Globuloviridae,4,0.00020198959753572692,0.020198959753572693
Gammaflexiviridae,4,0.00020198959753572692,0.020198959753572693
Phlegiviridae,4,0.00020198959753572692,0.020198959753572693
Pistolviridae,4,0.00020198959753572692,0.020198959753572693
Rhodogtaviriformidae,4,0.00020198959753572692,0.020198959753572693
Deltaflexiviridae,4,0.00020198959753572692,0.020198959753572693
Euroniviridae,3,0.0001514921981517952,0.01514921981517952
Verdandiviridae,3,0.0001514921981517952,0.01514921981517952
Ampullaviridae,3,0.0001514921981517952,0.01514921981517952
Tristromaviridae,3,0.0001514921981517952,0.01514921981517952
Simuloviridae,3,0.0001514921981517952,0.01514921981517952
Chaacviridae,3,0.0001514921981517952,0.01514921981517952
Felixviridae,3,0.0001514921981517952,0.01514921981517952
